ID	Log2FoldChange	PValue
ENSG00000169855	1.13	1.05E-06
ENSG00000070669	0.96	1.1E-06
ENSG00000161267	-1.46	1.11E-06
ENSG00000049759	1.07	1.12E-06
ENSG00000107338	0.99	1.12E-06
ENSG00000198736	-0.69	1.13E-06
ENSG00000065809	1.01	1.13E-06
ENSG00000070808	2.22	1.15E-06
ENSG00000145362	1	1.24E-06
ENSG00000213639	-1.07	1.26E-06
ENSG00000168481	-4.86	1.26E-06
ENSG00000075213	1.22	1.27E-06
ENSG00000094916	0.56	1.33E-06
ENSG00000073712	-0.63	1.33E-06
ENSG00000272870	-1.06	1.35E-06
ENSG00000198517	-0.71	1.4E-06
ENSG00000064309	1.64	1.44E-06
ENSG00000092969	1.69	1.46E-06
ENSG00000177570	2	1.47E-06
ENSG00000108950	-1.09	1.47E-06
ENSG00000144724	-0.92	1.49E-06
ENSG00000247311	-2.66	1.49E-06
ENSG00000083290	-1.18	1.51E-06
ENSG00000169908	-1.16	1.54E-06
ENSG00000181192	-0.76	1.61E-06
ENSG00000171492	0.76	1.62E-06
ENSG00000136237	-2.77	1.67E-06
ENSG00000101290	-0.75	1.71E-06
ENSG00000011198	-1.09	1.72E-06
ENSG00000008130	-0.8	1.72E-06
ENSG00000151917	0.65	1.73E-06
ENSG00000149633	1.5	1.75E-06
ENSG00000143384	-0.6	1.78E-06
ENSG00000100592	1	1.82E-06
ENSG00000151612	0.53	1.82E-06
ENSG00000167191	-1.87	1.85E-06
ENSG00000084764	0.77	1.9E-06
ENSG00000081377	-0.85	1.91E-06
ENSG00000137872	1.32	1.94E-06
ENSG00000163083	-3.65	1.95E-06
ENSG00000242265	0.96	2.03E-06
ENSG00000109654	0.86	2.14E-06
ENSG00000138604	-0.93	2.16E-06
ENSG00000187498	-1.34	2.24E-06
ENSG00000160408	-0.4	2.33E-06
ENSG00000126705	0.65	2.33E-06
ENSG00000131386	-1.55	2.44E-06
ENSG00000167771	1.38	2.45E-06
ENSG00000156931	0.49	2.54E-06
ENSG00000147576	-1.49	2.54E-06
ENSG00000126950	1.64	2.54E-06
ENSG00000128309	-1	2.57E-06
ENSG00000261685	-2.32	2.61E-06
ENSG00000129484	0.78	2.62E-06
ENSG00000142871	-1.82	2.65E-06
ENSG00000126561	-0.58	2.68E-06
ENSG00000115993	-0.93	2.8E-06
ENSG00000197045	-0.63	2.9E-06
ENSG00000196715	-0.72	2.93E-06
ENSG00000163171	-1.51	2.93E-06
ENSG00000120526	-0.64	2.93E-06
ENSG00000197312	-1.05	2.98E-06
ENSG00000174136	0.99	3.07E-06
ENSG00000172667	0.47	3.08E-06
ENSG00000136235	0.41	3.12E-06
ENSG00000122786	-0.82	3.12E-06
ENSG00000206052	1.14	3.15E-06
ENSG00000164330	-1.13	3.16E-06
ENSG00000205213	1.11	3.21E-06
ENSG00000189007	1.09	3.22E-06
ENSG00000115841	-0.78	3.24E-06
ENSG00000174697	-3.2	3.27E-06
ENSG00000267669	-1.5	3.27E-06
ENSG00000167992	1.52	3.31E-06
ENSG00000108468	0.47	3.31E-06
ENSG00000196152	0.78	3.42E-06
ENSG00000131370	1.02	3.44E-06
ENSG00000130311	-0.52	3.47E-06
ENSG00000164070	1.29	3.48E-06
ENSG00000123213	-0.82	3.52E-06
ENSG00000116649	-0.78	3.55E-06
ENSG00000147883	1.48	3.56E-06
ENSG00000071127	-0.85	3.8E-06
ENSG00000166979	-1.35	3.8E-06
ENSG00000161011	0.73	4.06E-06
ENSG00000092621	1.43	4.23E-06
ENSG00000196950	1.22	4.23E-06
ENSG00000225697	-0.9	4.24E-06
ENSG00000169218	-1.37	4.27E-06
ENSG00000067900	-0.57	4.27E-06
ENSG00000119772	0.58	4.34E-06
ENSG00000170791	-0.72	4.34E-06
ENSG00000123610	2.52	4.35E-06
ENSG00000165915	-0.62	4.35E-06
ENSG00000189266	-0.43	4.38E-06
ENSG00000044090	0.51	4.4E-06
ENSG00000078699	0.57	4.66E-06
ENSG00000111728	1.5	4.74E-06
ENSG00000076513	-0.69	4.74E-06
ENSG00000100266	-0.57	4.74E-06
ENSG00000196639	0.68	4.94E-06
ENSG00000166341	0.69	4.94E-06
ENSG00000069020	0.75	5.08E-06
ENSG00000115091	-0.58	5.38E-06
ENSG00000158301	0.86	5.46E-06
ENSG00000183963	0.92	5.51E-06
ENSG00000105711	1.27	5.69E-06
ENSG00000085415	-0.68	5.75E-06
ENSG00000188042	0.8	5.84E-06
ENSG00000075420	-0.71	5.86E-06
ENSG00000168077	0.6	5.9E-06
ENSG00000111801	0.78	6.2E-06
ENSG00000127324	-4.39	6.32E-06
ENSG00000095637	-1.95	6.34E-06
ENSG00000243742	2.3	6.62E-06
ENSG00000164305	-0.73	6.72E-06
ENSG00000065526	-0.67	6.79E-06
ENSG00000154736	-2.13	6.98E-06
ENSG00000171877	1.31	7.12E-06
ENSG00000114767	-0.93	7.17E-06
ENSG00000173918	-1.24	7.6E-06
ENSG00000137076	-0.56	7.64E-06
ENSG00000214274	-1.12	7.78E-06
ENSG00000138073	-1.12	7.87E-06
ENSG00000113657	0.61	8.29E-06
ENSG00000097096	-1.31	8.31E-06
ENSG00000051620	-0.41	8.34E-06
ENSG00000183049	0.78	8.42E-06
ENSG00000142875	0.59	8.55E-06
ENSG00000270885	-1.56	8.6E-06
ENSG00000198925	-0.39	8.71E-06
ENSG00000134851	-0.62	8.9E-06
ENSG00000159023	1.04	9.08E-06
ENSG00000138166	-1.28	9.56E-06
ENSG00000101825	1.35	9.59E-06
ENSG00000168646	-1.18	9.65E-06
ENSG00000137343	0.78	9.72E-06
ENSG00000176293	1.15	9.82E-06
ENSG00000138735	1.16	9.85E-06
ENSG00000169271	-2.37	9.89E-06
ENSG00000074935	0.71	0.00001
ENSG00000070882	1.1	0.00001
ENSG00000100292	1.34	1.01E-05
ENSG00000123411	0.65	1.01E-05
ENSG00000205765	-0.41	1.06E-05
ENSG00000166484	-0.83	1.06E-05
ENSG00000179222	0.65	1.07E-05
ENSG00000134769	0.88	1.08E-05
ENSG00000168461	-0.96	1.09E-05
ENSG00000254726	1.99	1.1E-05
ENSG00000140682	-0.63	1.13E-05
ENSG00000170584	-0.59	1.15E-05
ENSG00000128989	-0.34	1.16E-05
ENSG00000141469	3.86	1.2E-05
ENSG00000181634	2.58	1.23E-05
ENSG00000112936	-3.21	1.24E-05
ENSG00000144827	0.62	1.26E-05
ENSG00000181830	-0.61	1.26E-05
ENSG00000123643	-0.76	1.27E-05
ENSG00000176971	-1.26	1.27E-05
ENSG00000138468	0.75	1.28E-05
ENSG00000102221	0.9	1.28E-05
ENSG00000162878	-1.54	1.32E-05
ENSG00000111816	1.14	1.32E-05
ENSG00000150593	0.6	1.32E-05
ENSG00000123094	-0.87	1.32E-05
ENSG00000124226	0.46	1.33E-05
ENSG00000084710	2.69	1.35E-05
ENSG00000166592	1.52	1.37E-05
ENSG00000113460	-1	1.39E-05
ENSG00000064115	-0.83	1.41E-05
ENSG00000139567	-0.85	1.44E-05
ENSG00000011485	-0.56	1.44E-05
ENSG00000275066	0.52	1.46E-05
ENSG00000017797	-0.55	1.46E-05
ENSG00000169504	-0.78	1.49E-05
ENSG00000115963	0.75	1.49E-05
ENSG00000235109	1.76	1.55E-05
ENSG00000141574	0.69	1.56E-05
ENSG00000213160	-1.63	1.56E-05
ENSG00000170315	0.39	1.57E-05
ENSG00000064666	-0.78	1.57E-05
ENSG00000165633	-0.62	1.57E-05
ENSG00000104687	-0.8	1.63E-05
ENSG00000105137	-0.53	1.69E-05
ENSG00000166272	-0.7	1.69E-05
ENSG00000105643	-0.76	1.71E-05
ENSG00000146411	0.92	1.76E-05
ENSG00000171617	1.21	1.77E-05
ENSG00000131080	0.94	1.78E-05
ENSG00000162407	1.01	1.81E-05
ENSG00000168303	-0.74	1.81E-05
ENSG00000073792	-0.78	1.82E-05
ENSG00000188312	1.31	1.82E-05
ENSG00000241399	-1.7	1.83E-05
ENSG00000169692	-0.63	1.87E-05
ENSG00000174680	-3.07	1.88E-05
ENSG00000101004	0.57	1.9E-05
ENSG00000100739	1.75	1.92E-05
ENSG00000140443	-0.56	1.92E-05
ENSG00000100116	-0.77	1.92E-05
ENSG00000003096	0.92	1.92E-05
ENSG00000170921	-0.59	1.96E-05
ENSG00000100360	0.47	2.06E-05
ENSG00000230417	1.49	2.14E-05
ENSG00000143771	-0.53	2.18E-05
ENSG00000143570	-0.32	2.19E-05
ENSG00000154102	1.03	2.22E-05
ENSG00000166260	-1.05	2.23E-05
ENSG00000131459	-1.31	2.25E-05
ENSG00000086062	0.6	2.27E-05
ENSG00000072571	-1.49	2.32E-05
ENSG00000230018	-2.41	2.32E-05
ENSG00000135678	-1.47	2.33E-05
ENSG00000103647	1.27	2.35E-05
ENSG00000166793	1.25	2.42E-05
ENSG00000165533	0.57	2.43E-05
ENSG00000078124	-0.85	2.48E-05
ENSG00000107882	0.49	2.49E-05
ENSG00000180891	-0.55	2.53E-05
ENSG00000123405	2.79	2.56E-05
ENSG00000135070	-0.52	2.6E-05
ENSG00000048740	-0.94	2.64E-05
ENSG00000144228	-0.5	2.67E-05
ENSG00000160460	1.09	2.71E-05
ENSG00000116991	2.72	2.78E-05
